"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA CONSUMPTION","22 Sep 2021","63.44","8.51","1.15"
"NIFTY INDIA CONSUMPTION","21 Sep 2021","63.14","8.47","1.16"
"NIFTY INDIA CONSUMPTION","20 Sep 2021","62.84","8.43","1.17"
"NIFTY INDIA CONSUMPTION","17 Sep 2021","62.97","8.45","1.16"
"NIFTY INDIA CONSUMPTION","16 Sep 2021","62.87","8.44","1.17"
"NIFTY INDIA CONSUMPTION","15 Sep 2021","62.47","8.38","1.17"
"NIFTY INDIA CONSUMPTION","14 Sep 2021","62.05","8.33","1.18"
"NIFTY INDIA CONSUMPTION","13 Sep 2021","61.66","8.27","1.19"
"NIFTY INDIA CONSUMPTION","09 Sep 2021","61.56","8.26","1.19"
"NIFTY INDIA CONSUMPTION","08 Sep 2021","61.23","8.22","1.20"
"NIFTY INDIA CONSUMPTION","07 Sep 2021","61.16","8.21","1.20"
"NIFTY INDIA CONSUMPTION","06 Sep 2021","60.92","8.17","1.21"
"NIFTY INDIA CONSUMPTION","03 Sep 2021","60.94","8.18","1.21"
"NIFTY INDIA CONSUMPTION","02 Sep 2021","60.79","8.16","1.21"
"NIFTY INDIA CONSUMPTION","01 Sep 2021","60.34","8.10","1.20"
"NIFTY INDIA CONSUMPTION","31 Aug 2021","59.95","8.04","1.21"
"NIFTY INDIA CONSUMPTION","30 Aug 2021","58.82","7.45","1.23"
"NIFTY INDIA CONSUMPTION","27 Aug 2021","57.82","7.33","1.26"
"NIFTY INDIA CONSUMPTION","26 Aug 2021","57.55","7.29","1.26"
"NIFTY INDIA CONSUMPTION","25 Aug 2021","57.65","7.31","1.32"
"NIFTY INDIA CONSUMPTION","24 Aug 2021","57.74","7.32","1.32"
"NIFTY INDIA CONSUMPTION","23 Aug 2021","57.74","7.32","1.32"
"NIFTY INDIA CONSUMPTION","20 Aug 2021","57.98","7.35","1.31"
"NIFTY INDIA CONSUMPTION","18 Aug 2021","57.52","7.29","1.32"
"NIFTY INDIA CONSUMPTION","17 Aug 2021","57.48","7.27","1.32"
"NIFTY INDIA CONSUMPTION","16 Aug 2021","57.88","7.30","1.33"
"NIFTY INDIA CONSUMPTION","13 Aug 2021","58.55","7.30","1.33"
"NIFTY INDIA CONSUMPTION","12 Aug 2021","58.27","7.26","1.40"
"NIFTY INDIA CONSUMPTION","11 Aug 2021","58.15","7.25","1.40"
"NIFTY INDIA CONSUMPTION","10 Aug 2021","58.36","7.27","1.39"
"NIFTY INDIA CONSUMPTION","09 Aug 2021","58.14","7.29","1.39"
"NIFTY INDIA CONSUMPTION","06 Aug 2021","58.20","7.30","1.37"
"NIFTY INDIA CONSUMPTION","05 Aug 2021","58.47","7.29","1.40"
"NIFTY INDIA CONSUMPTION","04 Aug 2021","77.98","7.26","1.37"
"NIFTY INDIA CONSUMPTION","03 Aug 2021","78.64","7.32","1.36"
"NIFTY INDIA CONSUMPTION","02 Aug 2021","77.02","7.20","1.40"
"NIFTY INDIA CONSUMPTION","30 Jul 2021","76.46","7.14","1.41"
"NIFTY INDIA CONSUMPTION","29 Jul 2021","77.74","7.14","1.47"
"NIFTY INDIA CONSUMPTION","28 Jul 2021","77.89","7.18","1.45"
"NIFTY INDIA CONSUMPTION","27 Jul 2021","77.87","7.18","1.45"
"NIFTY INDIA CONSUMPTION","26 Jul 2021","80.61","7.20","1.44"
"NIFTY INDIA CONSUMPTION","23 Jul 2021","82.41","7.32","1.44"
"NIFTY INDIA CONSUMPTION","22 Jul 2021","83.63","7.23","1.45"
"NIFTY INDIA CONSUMPTION","20 Jul 2021","83.00","7.18","1.42"
"NIFTY INDIA CONSUMPTION","19 Jul 2021","82.78","7.16","1.43"
"NIFTY INDIA CONSUMPTION","16 Jul 2021","83.09","7.19","1.42"
"NIFTY INDIA CONSUMPTION","15 Jul 2021","82.84","7.17","1.44"
"NIFTY INDIA CONSUMPTION","14 Jul 2021","82.93","7.17","1.38"
"NIFTY INDIA CONSUMPTION","13 Jul 2021","83.04","7.18","1.38"
"NIFTY INDIA CONSUMPTION","12 Jul 2021","83.17","7.19","1.38"
"NIFTY INDIA CONSUMPTION","09 Jul 2021","83.19","7.19","1.38"
"NIFTY INDIA CONSUMPTION","08 Jul 2021","83.18","7.19","1.38"
"NIFTY INDIA CONSUMPTION","07 Jul 2021","83.67","7.23","1.25"
"NIFTY INDIA CONSUMPTION","06 Jul 2021","83.36","7.21","1.25"
"NIFTY INDIA CONSUMPTION","05 Jul 2021","83.64","7.23","1.74"
"NIFTY INDIA CONSUMPTION","02 Jul 2021","83.14","7.19","1.75"
"NIFTY INDIA CONSUMPTION","01 Jul 2021","83.04","7.18","1.75"
"NIFTY INDIA CONSUMPTION","30 Jun 2021","82.52","7.13","1.76"
"NIFTY INDIA CONSUMPTION","29 Jun 2021","88.33","7.19","1.64"
"NIFTY INDIA CONSUMPTION","28 Jun 2021","88.50","7.20","1.64"
"NIFTY INDIA CONSUMPTION","25 Jun 2021","88.56","7.20","1.63"
"NIFTY INDIA CONSUMPTION","24 Jun 2021","88.34","7.20","1.64"
"NIFTY INDIA CONSUMPTION","23 Jun 2021","88.12","7.18","1.64"
"NIFTY INDIA CONSUMPTION","22 Jun 2021","88.75","7.18","1.64"
"NIFTY INDIA CONSUMPTION","21 Jun 2021","88.69","7.18","1.64"
"NIFTY INDIA CONSUMPTION","18 Jun 2021","88.59","7.18","1.69"
"NIFTY INDIA CONSUMPTION","17 Jun 2021","88.45","7.22","1.70"
"NIFTY INDIA CONSUMPTION","16 Jun 2021","88.97","7.25","1.69"
"NIFTY INDIA CONSUMPTION","15 Jun 2021","89.23","7.27","1.68"
"NIFTY INDIA CONSUMPTION","14 Jun 2021","88.43","7.20","1.70"
"NIFTY INDIA CONSUMPTION","11 Jun 2021","88.44","7.20","1.63"
"NIFTY INDIA CONSUMPTION","10 Jun 2021","88.57","7.21","1.64"
"NIFTY INDIA CONSUMPTION","09 Jun 2021","88.27","7.19","1.34"
"NIFTY INDIA CONSUMPTION","08 Jun 2021","88.24","7.21","1.33"
"NIFTY INDIA CONSUMPTION","07 Jun 2021","87.72","7.17","1.34"
"NIFTY INDIA CONSUMPTION","04 Jun 2021","87.35","7.14","1.35"
"NIFTY INDIA CONSUMPTION","03 Jun 2021","87.66","7.17","1.34"
"NIFTY INDIA CONSUMPTION","02 Jun 2021","86.27","7.08","1.36"
"NIFTY INDIA CONSUMPTION","01 Jun 2021","86.32","7.08","1.36"
"NIFTY INDIA CONSUMPTION","31 May 2021","101.87","7.09","1.37"
"NIFTY INDIA CONSUMPTION","28 May 2021","102.24","7.40","1.38"
"NIFTY INDIA CONSUMPTION","27 May 2021","102.25","7.39","1.38"
"NIFTY INDIA CONSUMPTION","26 May 2021","102.23","7.39","1.38"
"NIFTY INDIA CONSUMPTION","25 May 2021","101.72","7.35","1.39"
"NIFTY INDIA CONSUMPTION","24 May 2021","102.08","7.28","1.37"
"NIFTY INDIA CONSUMPTION","21 May 2021","110.34","7.29","1.37"
"NIFTY INDIA CONSUMPTION","20 May 2021","109.52","7.24","1.38"
"NIFTY INDIA CONSUMPTION","19 May 2021","110.14","7.28","1.37"
"NIFTY INDIA CONSUMPTION","18 May 2021","141.60","7.30","1.37"
"NIFTY INDIA CONSUMPTION","17 May 2021","139.87","7.21","1.39"
"NIFTY INDIA CONSUMPTION","14 May 2021","142.85","7.19","1.39"
"NIFTY INDIA CONSUMPTION","12 May 2021","141.87","7.11","1.41"
"NIFTY INDIA CONSUMPTION","11 May 2021","142.28","7.13","1.40"
"NIFTY INDIA CONSUMPTION","10 May 2021","143.48","7.14","1.40"
"NIFTY INDIA CONSUMPTION","07 May 2021","147.58","7.12","1.40"
"NIFTY INDIA CONSUMPTION","06 May 2021","147.39","7.11","1.40"
"NIFTY INDIA CONSUMPTION","05 May 2021","146.60","7.07","1.41"
"NIFTY INDIA CONSUMPTION","04 May 2021","145.59","7.02","1.42"
"NIFTY INDIA CONSUMPTION","03 May 2021","151.30","7.08","1.41"
"NIFTY INDIA CONSUMPTION","30 Apr 2021","151.53","7.02","1.42"
"NIFTY INDIA CONSUMPTION","29 Apr 2021","153.63","7.11","1.40"
"NIFTY INDIA CONSUMPTION","28 Apr 2021","153.89","7.15","1.40"
"NIFTY INDIA CONSUMPTION","27 Apr 2021","152.54","7.09","1.41"
"NIFTY INDIA CONSUMPTION","26 Apr 2021","151.61","7.05","1.42"
"NIFTY INDIA CONSUMPTION","23 Apr 2021","150.48","7.00","1.43"
"NIFTY INDIA CONSUMPTION","22 Apr 2021","152.08","7.05","1.42"
"NIFTY INDIA CONSUMPTION","20 Apr 2021","153.05","7.09","1.41"
"NIFTY INDIA CONSUMPTION","19 Apr 2021","152.73","7.08","1.42"
"NIFTY INDIA CONSUMPTION","16 Apr 2021","155.41","7.20","1.39"
"NIFTY INDIA CONSUMPTION","15 Apr 2021","154.05","7.14","1.40"
"NIFTY INDIA CONSUMPTION","13 Apr 2021","154.13","7.14","1.40"
"NIFTY INDIA CONSUMPTION","12 Apr 2021","152.24","7.06","1.42"
"NIFTY INDIA CONSUMPTION","09 Apr 2021","157.22","7.29","1.38"
"NIFTY INDIA CONSUMPTION","08 Apr 2021","156.82","7.27","1.38"
"NIFTY INDIA CONSUMPTION","07 Apr 2021","155.87","7.23","1.34"
"NIFTY INDIA CONSUMPTION","06 Apr 2021","154.04","7.14","1.35"
"NIFTY INDIA CONSUMPTION","05 Apr 2021","152.70","7.08","1.37"
"NIFTY INDIA CONSUMPTION","01 Apr 2021","155.24","7.20","1.34"
"NIFTY INDIA CONSUMPTION","31 Mar 2021","154.60","7.17","1.35"
"NIFTY INDIA CONSUMPTION","30 Mar 2021","272.83","6.92","1.13"
"NIFTY INDIA CONSUMPTION","26 Mar 2021","268.69","6.82","1.14"
"NIFTY INDIA CONSUMPTION","25 Mar 2021","263.34","6.68","1.17"
"NIFTY INDIA CONSUMPTION","24 Mar 2021","269.92","6.85","1.14"
"NIFTY INDIA CONSUMPTION","23 Mar 2021","273.85","6.95","1.12"
"NIFTY INDIA CONSUMPTION","22 Mar 2021","273.41","6.94","1.12"
"NIFTY INDIA CONSUMPTION","19 Mar 2021","271.57","6.89","1.13"
"NIFTY INDIA CONSUMPTION","18 Mar 2021","268.74","6.82","1.14"
"NIFTY INDIA CONSUMPTION","17 Mar 2021","268.67","6.82","1.14"
"NIFTY INDIA CONSUMPTION","16 Mar 2021","272.00","6.90","1.13"
"NIFTY INDIA CONSUMPTION","15 Mar 2021","269.69","6.84","1.14"
"NIFTY INDIA CONSUMPTION","12 Mar 2021","271.28","6.88","1.13"
"NIFTY INDIA CONSUMPTION","10 Mar 2021","274.28","6.96","1.12"
"NIFTY INDIA CONSUMPTION","09 Mar 2021","272.57","6.92","1.13"
"NIFTY INDIA CONSUMPTION","08 Mar 2021","272.41","6.91","1.13"
"NIFTY INDIA CONSUMPTION","05 Mar 2021","273.59","6.94","1.12"
"NIFTY INDIA CONSUMPTION","04 Mar 2021","275.29","6.99","1.12"
"NIFTY INDIA CONSUMPTION","03 Mar 2021","275.48","6.99","1.11"
"NIFTY INDIA CONSUMPTION","02 Mar 2021","274.40","6.96","1.12"
"NIFTY INDIA CONSUMPTION","01 Mar 2021","268.59","6.82","1.14"
"NIFTY INDIA CONSUMPTION","26 Feb 2021","265.63","6.74","1.16"
"NIFTY INDIA CONSUMPTION","25 Feb 2021","273.18","6.93","1.12"
"NIFTY INDIA CONSUMPTION","24 Feb 2021","272.57","6.92","1.13"
"NIFTY INDIA CONSUMPTION","23 Feb 2021","271.13","6.88","1.13"
"NIFTY INDIA CONSUMPTION","22 Feb 2021","270.63","6.87","1.13"
"NIFTY INDIA CONSUMPTION","19 Feb 2021","275.50","6.99","1.11"
"NIFTY INDIA CONSUMPTION","18 Feb 2021","278.93","7.08","1.10"
"NIFTY INDIA CONSUMPTION","17 Feb 2021","280.63","7.12","1.10"
"NIFTY INDIA CONSUMPTION","16 Feb 2021","281.97","7.15","1.09"
"NIFTY INDIA CONSUMPTION","15 Feb 2021","284.47","7.15","1.09"
"NIFTY INDIA CONSUMPTION","12 Feb 2021","269.68","7.12","1.09"
"NIFTY INDIA CONSUMPTION","11 Feb 2021","273.84","7.22","1.08"
"NIFTY INDIA CONSUMPTION","10 Feb 2021","274.01","7.19","1.08"
"NIFTY INDIA CONSUMPTION","09 Feb 2021","273.51","7.18","1.08"
"NIFTY INDIA CONSUMPTION","08 Feb 2021","272.18","7.19","1.08"
"NIFTY INDIA CONSUMPTION","05 Feb 2021","277.11","7.11","1.10"
"NIFTY INDIA CONSUMPTION","04 Feb 2021","195.24","7.17","1.09"
"NIFTY INDIA CONSUMPTION","03 Feb 2021","193.81","7.09","1.10"
"NIFTY INDIA CONSUMPTION","02 Feb 2021","193.13","7.06","1.10"
"NIFTY INDIA CONSUMPTION","01 Feb 2021","191.07","6.97","1.12"
"NIFTY INDIA CONSUMPTION","29 Jan 2021","183.82","6.78","1.15"
"NIFTY INDIA CONSUMPTION","28 Jan 2021","190.63","6.96","1.12"
"NIFTY INDIA CONSUMPTION","27 Jan 2021","192.15","7.02","1.11"
"NIFTY INDIA CONSUMPTION","25 Jan 2021","193.93","7.09","1.10"
"NIFTY INDIA CONSUMPTION","22 Jan 2021","204.28","7.12","1.09"
"NIFTY INDIA CONSUMPTION","21 Jan 2021","206.72","7.14","1.09"
"NIFTY INDIA CONSUMPTION","20 Jan 2021","207.26","7.16","1.09"
"NIFTY INDIA CONSUMPTION","19 Jan 2021","205.90","7.12","1.10"
"NIFTY INDIA CONSUMPTION","18 Jan 2021","203.69","7.04","1.11"
"NIFTY INDIA CONSUMPTION","15 Jan 2021","205.39","7.10","1.10"
"NIFTY INDIA CONSUMPTION","14 Jan 2021","206.84","7.15","1.09"
"NIFTY INDIA CONSUMPTION","13 Jan 2021","206.47","7.14","1.09"
"NIFTY INDIA CONSUMPTION","12 Jan 2021","205.83","7.11","1.10"
"NIFTY INDIA CONSUMPTION","11 Jan 2021","206.91","7.15","1.09"
"NIFTY INDIA CONSUMPTION","08 Jan 2021","205.19","7.07","1.10"
"NIFTY INDIA CONSUMPTION","07 Jan 2021","201.93","6.96","1.12"
"NIFTY INDIA CONSUMPTION","06 Jan 2021","202.00","6.96","1.12"
"NIFTY INDIA CONSUMPTION","05 Jan 2021","202.61","6.98","1.12"
"NIFTY INDIA CONSUMPTION","04 Jan 2021","201.89","6.96","1.12"
"NIFTY INDIA CONSUMPTION","01 Jan 2021","200.99","6.93","1.12"
"NIFTY INDIA CONSUMPTION","31 Dec 2020","192.73","6.89","1.14"
"NIFTY INDIA CONSUMPTION","30 Dec 2020","192.38","6.87","1.14"
"NIFTY INDIA CONSUMPTION","29 Dec 2020","191.25","6.83","1.15"
"NIFTY INDIA CONSUMPTION","28 Dec 2020","191.39","6.84","1.14"
"NIFTY INDIA CONSUMPTION","24 Dec 2020","190.12","6.79","1.15"
"NIFTY INDIA CONSUMPTION","23 Dec 2020","189.30","6.76","1.16"
"NIFTY INDIA CONSUMPTION","22 Dec 2020","186.64","6.67","1.17"
"NIFTY INDIA CONSUMPTION","21 Dec 2020","184.80","6.60","1.19"
"NIFTY INDIA CONSUMPTION","18 Dec 2020","190.70","6.81","1.15"
"NIFTY INDIA CONSUMPTION","17 Dec 2020","190.14","6.79","1.15"
"NIFTY INDIA CONSUMPTION","16 Dec 2020","190.92","6.82","1.15"
"NIFTY INDIA CONSUMPTION","15 Dec 2020","188.65","6.74","1.16"
"NIFTY INDIA CONSUMPTION","14 Dec 2020","189.12","6.76","1.16"
"NIFTY INDIA CONSUMPTION","11 Dec 2020","189.13","6.76","1.16"
"NIFTY INDIA CONSUMPTION","10 Dec 2020","188.50","6.73","1.16"
"NIFTY INDIA CONSUMPTION","09 Dec 2020","186.49","6.66","1.17"
"NIFTY INDIA CONSUMPTION","08 Dec 2020","185.48","6.63","1.18"
"NIFTY INDIA CONSUMPTION","07 Dec 2020","185.67","6.63","1.18"
"NIFTY INDIA CONSUMPTION","04 Dec 2020","183.77","6.57","1.19"
"NIFTY INDIA CONSUMPTION","03 Dec 2020","181.33","6.48","1.21"
"NIFTY INDIA CONSUMPTION","02 Dec 2020","179.42","6.41","1.22"
"NIFTY INDIA CONSUMPTION","01 Dec 2020","177.32","6.33","1.24"
"NIFTY INDIA CONSUMPTION","27 Nov 2020","175.71","6.28","1.25"
"NIFTY INDIA CONSUMPTION","26 Nov 2020","175.00","6.25","1.25"
"NIFTY INDIA CONSUMPTION","25 Nov 2020","173.91","6.21","1.26"
"NIFTY INDIA CONSUMPTION","24 Nov 2020","176.77","6.32","1.24"
"NIFTY INDIA CONSUMPTION","23 Nov 2020","175.61","6.27","1.25"
"NIFTY INDIA CONSUMPTION","20 Nov 2020","175.35","6.26","1.25"
"NIFTY INDIA CONSUMPTION","19 Nov 2020","173.04","6.18","1.27"
"NIFTY INDIA CONSUMPTION","18 Nov 2020","173.59","6.20","1.26"
"NIFTY INDIA CONSUMPTION","17 Nov 2020","173.66","6.20","1.26"
"NIFTY INDIA CONSUMPTION","14 Nov 2020","173.04","6.18","1.27"
"NIFTY INDIA CONSUMPTION","13 Nov 2020","172.44","6.16","1.27"
"NIFTY INDIA CONSUMPTION","12 Nov 2020","171.26","6.15","1.27"
"NIFTY INDIA CONSUMPTION","11 Nov 2020","151.67","6.12","1.28"
"NIFTY INDIA CONSUMPTION","10 Nov 2020","150.12","6.06","1.29"
"NIFTY INDIA CONSUMPTION","09 Nov 2020","141.66","6.08","1.29"
"NIFTY INDIA CONSUMPTION","06 Nov 2020","140.05","6.00","1.30"
"NIFTY INDIA CONSUMPTION","05 Nov 2020","139.77","6.02","1.30"
"NIFTY INDIA CONSUMPTION","04 Nov 2020","137.74","5.91","1.32"
"NIFTY INDIA CONSUMPTION","03 Nov 2020","136.50","5.88","1.33"
"NIFTY INDIA CONSUMPTION","02 Nov 2020","135.99","5.85","1.34"
"NIFTY INDIA CONSUMPTION","30 Oct 2020","135.62","5.84","1.34"
"NIFTY INDIA CONSUMPTION","29 Oct 2020","137.76","5.90","1.33"
"NIFTY INDIA CONSUMPTION","28 Oct 2020","-","5.93","1.32"
"NIFTY INDIA CONSUMPTION","27 Oct 2020","-","5.93","1.32"
"NIFTY INDIA CONSUMPTION","26 Oct 2020","-","5.83","1.34"
"NIFTY INDIA CONSUMPTION","23 Oct 2020","-","5.90","1.33"
"NIFTY INDIA CONSUMPTION","22 Oct 2020","-","5.84","1.34"
"NIFTY INDIA CONSUMPTION","21 Oct 2020","-","5.83","1.34"
"NIFTY INDIA CONSUMPTION","20 Oct 2020","-","5.86","1.34"
"NIFTY INDIA CONSUMPTION","19 Oct 2020","-","5.83","1.34"
"NIFTY INDIA CONSUMPTION","16 Oct 2020","-","5.81","1.35"
"NIFTY INDIA CONSUMPTION","15 Oct 2020","-","5.80","1.35"
"NIFTY INDIA CONSUMPTION","14 Oct 2020","-","5.87","1.33"
"NIFTY INDIA CONSUMPTION","13 Oct 2020","-","5.87","1.33"
"NIFTY INDIA CONSUMPTION","12 Oct 2020","-","5.91","1.32"
"NIFTY INDIA CONSUMPTION","09 Oct 2020","-","5.92","1.32"
"NIFTY INDIA CONSUMPTION","08 Oct 2020","-","5.94","1.32"
"NIFTY INDIA CONSUMPTION","07 Oct 2020","-","5.94","1.32"
"NIFTY INDIA CONSUMPTION","06 Oct 2020","-","5.90","1.32"
"NIFTY INDIA CONSUMPTION","05 Oct 2020","-","5.86","1.33"
"NIFTY INDIA CONSUMPTION","01 Oct 2020","-","5.88","1.33"
"NIFTY INDIA CONSUMPTION","30 Sep 2020","-","5.83","1.34"
"NIFTY INDIA CONSUMPTION","29 Sep 2020","-","5.79","1.35"
"NIFTY INDIA CONSUMPTION","28 Sep 2020","-","5.82","1.34"
"NIFTY INDIA CONSUMPTION","25 Sep 2020","-","5.73","1.36"
"NIFTY INDIA CONSUMPTION","24 Sep 2020","-","5.41","1.44"
"NIFTY INDIA CONSUMPTION","23 Sep 2020","-","5.50","1.41"
"NIFTY INDIA CONSUMPTION","22 Sep 2020","-","5.53","1.41"
"NIFTY INDIA CONSUMPTION","21 Sep 2020","-","5.60","1.39"
"NIFTY INDIA CONSUMPTION","18 Sep 2020","-","5.79","1.34"
"NIFTY INDIA CONSUMPTION","17 Sep 2020","-","5.78","1.35"
"NIFTY INDIA CONSUMPTION","16 Sep 2020","-","5.79","1.34"
"NIFTY INDIA CONSUMPTION","15 Sep 2020","-","5.80","1.35"
"NIFTY INDIA CONSUMPTION","14 Sep 2020","-","5.80","1.35"
"NIFTY INDIA CONSUMPTION","11 Sep 2020","361.15","5.91","1.36"
"NIFTY INDIA CONSUMPTION","10 Sep 2020","360.37","5.90","1.37"
"NIFTY INDIA CONSUMPTION","09 Sep 2020","358.56","5.87","1.37"
"NIFTY INDIA CONSUMPTION","08 Sep 2020","358.14","5.86","1.37"
"NIFTY INDIA CONSUMPTION","07 Sep 2020","361.12","5.91","1.36"
"NIFTY INDIA CONSUMPTION","04 Sep 2020","351.27","5.90","1.36"
"NIFTY INDIA CONSUMPTION","03 Sep 2020","346.45","5.98","1.35"
"NIFTY INDIA CONSUMPTION","02 Sep 2020","343.37","5.94","1.35"
"NIFTY INDIA CONSUMPTION","01 Sep 2020","341.59","5.91","1.35"
"NIFTY INDIA CONSUMPTION","31 Aug 2020","336.27","5.82","1.37"
"NIFTY INDIA CONSUMPTION","28 Aug 2020","347.29","5.98","1.34"
"NIFTY INDIA CONSUMPTION","27 Aug 2020","348.13","5.99","1.34"
"NIFTY INDIA CONSUMPTION","26 Aug 2020","347.55","5.98","1.34"
"NIFTY INDIA CONSUMPTION","25 Aug 2020","347.64","5.98","1.34"
"NIFTY INDIA CONSUMPTION","24 Aug 2020","334.72","5.98","1.34"
"NIFTY INDIA CONSUMPTION","21 Aug 2020","333.87","5.96","1.34"
"NIFTY INDIA CONSUMPTION","20 Aug 2020","332.06","5.93","1.35"
"NIFTY INDIA CONSUMPTION","19 Aug 2020","294.35","6.15","1.37"
"NIFTY INDIA CONSUMPTION","18 Aug 2020","293.40","6.13","1.38"
"NIFTY INDIA CONSUMPTION","17 Aug 2020","290.40","6.07","1.39"
"NIFTY INDIA CONSUMPTION","14 Aug 2020","234.68","5.99","1.41"
"NIFTY INDIA CONSUMPTION","13 Aug 2020","229.53","6.07","1.39"
"NIFTY INDIA CONSUMPTION","12 Aug 2020","214.60","6.04","1.40"
"NIFTY INDIA CONSUMPTION","11 Aug 2020","214.46","6.04","1.40"
"NIFTY INDIA CONSUMPTION","10 Aug 2020","217.66","6.04","1.40"
"NIFTY INDIA CONSUMPTION","07 Aug 2020","157.12","6.02","1.40"
"NIFTY INDIA CONSUMPTION","06 Aug 2020","156.10","5.98","1.41"
"NIFTY INDIA CONSUMPTION","05 Aug 2020","155.59","5.95","1.42"
"NIFTY INDIA CONSUMPTION","04 Aug 2020","154.57","5.92","1.43"
"NIFTY INDIA CONSUMPTION","03 Aug 2020","152.89","5.85","1.45"
"NIFTY INDIA CONSUMPTION","31 Jul 2020","154.13","5.89","1.44"
"NIFTY INDIA CONSUMPTION","30 Jul 2020","77.31","5.89","1.43"
"NIFTY INDIA CONSUMPTION","29 Jul 2020","77.71","5.92","1.43"
"NIFTY INDIA CONSUMPTION","28 Jul 2020","76.84","5.99","1.38"
"NIFTY INDIA CONSUMPTION","27 Jul 2020","70.04","5.94","1.25"
"NIFTY INDIA CONSUMPTION","24 Jul 2020","70.18","5.95","1.25"
"NIFTY INDIA CONSUMPTION","23 Jul 2020","69.53","6.00","1.23"
"NIFTY INDIA CONSUMPTION","22 Jul 2020","69.13","5.96","1.24"
"NIFTY INDIA CONSUMPTION","21 Jul 2020","69.38","5.98","1.24"
"NIFTY INDIA CONSUMPTION","20 Jul 2020","70.23","6.00","1.23"
"NIFTY INDIA CONSUMPTION","17 Jul 2020","69.73","5.96","1.24"
"NIFTY INDIA CONSUMPTION","16 Jul 2020","68.99","5.89","1.26"
"NIFTY INDIA CONSUMPTION","15 Jul 2020","68.73","5.87","1.26"
"NIFTY INDIA CONSUMPTION","14 Jul 2020","68.82","5.88","1.26"
"NIFTY INDIA CONSUMPTION","13 Jul 2020","69.31","5.95","1.25"
"NIFTY INDIA CONSUMPTION","10 Jul 2020","68.76","5.90","1.26"
"NIFTY INDIA CONSUMPTION","09 Jul 2020","68.81","5.90","1.25"
"NIFTY INDIA CONSUMPTION","08 Jul 2020","68.68","5.89","1.26"
"NIFTY INDIA CONSUMPTION","07 Jul 2020","69.29","5.94","1.25"
"NIFTY INDIA CONSUMPTION","06 Jul 2020","69.30","5.95","1.25"
"NIFTY INDIA CONSUMPTION","03 Jul 2020","68.96","5.92","1.25"
"NIFTY INDIA CONSUMPTION","02 Jul 2020","68.35","5.86","1.26"
"NIFTY INDIA CONSUMPTION","01 Jul 2020","67.59","5.80","1.28"
"NIFTY INDIA CONSUMPTION","30 Jun 2020","67.58","5.80","1.28"
"NIFTY INDIA CONSUMPTION","29 Jun 2020","68.39","5.78","1.28"
"NIFTY INDIA CONSUMPTION","26 Jun 2020","68.29","5.77","1.28"
"NIFTY INDIA CONSUMPTION","25 Jun 2020","77.45","5.46","1.22"
"NIFTY INDIA CONSUMPTION","24 Jun 2020","76.70","5.42","1.22"
"NIFTY INDIA CONSUMPTION","23 Jun 2020","76.87","5.44","1.22"
"NIFTY INDIA CONSUMPTION","22 Jun 2020","75.96","5.37","1.24"
"NIFTY INDIA CONSUMPTION","19 Jun 2020","75.15","5.31","1.25"
"NIFTY INDIA CONSUMPTION","18 Jun 2020","74.51","5.27","1.26"
"NIFTY INDIA CONSUMPTION","17 Jun 2020","74.15","5.24","1.27"
"NIFTY INDIA CONSUMPTION","16 Jun 2020","74.08","5.24","1.27"
"NIFTY INDIA CONSUMPTION","15 Jun 2020","62.16","5.24","1.27"
"NIFTY INDIA CONSUMPTION","12 Jun 2020","63.10","5.32","1.25"
"NIFTY INDIA CONSUMPTION","11 Jun 2020","61.91","5.26","1.26"
"NIFTY INDIA CONSUMPTION","10 Jun 2020","62.97","5.35","1.24"
"NIFTY INDIA CONSUMPTION","09 Jun 2020","63.39","5.38","1.23"
"NIFTY INDIA CONSUMPTION","08 Jun 2020","63.93","5.41","1.23"
"NIFTY INDIA CONSUMPTION","05 Jun 2020","64.22","5.44","1.22"
"NIFTY INDIA CONSUMPTION","04 Jun 2020","63.79","5.40","1.23"
"NIFTY INDIA CONSUMPTION","03 Jun 2020","62.31","5.38","1.23"
"NIFTY INDIA CONSUMPTION","02 Jun 2020","62.18","5.37","1.24"
"NIFTY INDIA CONSUMPTION","01 Jun 2020","62.03","5.36","1.24"
"NIFTY INDIA CONSUMPTION","29 May 2020","60.93","5.25","1.26"
"NIFTY INDIA CONSUMPTION","28 May 2020","59.63","5.16","1.29"
"NIFTY INDIA CONSUMPTION","27 May 2020","58.41","5.07","1.31"
"NIFTY INDIA CONSUMPTION","26 May 2020","58.24","5.05","1.31"
"NIFTY INDIA CONSUMPTION","22 May 2020","58.33","5.06","1.31"
"NIFTY INDIA CONSUMPTION","21 May 2020","58.26","5.05","1.31"
"NIFTY INDIA CONSUMPTION","20 May 2020","57.14","4.95","1.34"
"NIFTY INDIA CONSUMPTION","19 May 2020","48.74","4.88","1.36"
"NIFTY INDIA CONSUMPTION","18 May 2020","47.76","4.78","1.39"
"NIFTY INDIA CONSUMPTION","15 May 2020","49.04","4.92","1.35"
"NIFTY INDIA CONSUMPTION","14 May 2020","48.94","4.91","1.35"
"NIFTY INDIA CONSUMPTION","13 May 2020","47.91","4.92","1.35"
"NIFTY INDIA CONSUMPTION","12 May 2020","47.62","4.89","1.36"
"NIFTY INDIA CONSUMPTION","11 May 2020","46.73","4.85","1.37"
